Type,Air Temperature,Process Temperature,Rotational Speed,Torque,Tool Wear,Target,Failure Type,Temperature Difference,Power
L,297.0,307.8,1385,56.4,202,0,Overstrain Failure,10.800000000000011,8180.07894207
L,297.0,307.9,1455,49.0,204,1,No Failure,10.899999999999977,7465.994932725
H,296.9,307.8,1549,35.8,206,0,Tool Wear Failure,10.900000000000034,5807.150237721
M,296.9,307.8,1392,43.9,0,1,No Failure,10.900000000000034,6399.298564344
M,296.9,307.7,2008,17.5,3,1,No Failure,10.800000000000011,3679.8521907
L,296.9,307.7,1464,41.4,6,1,No Failure,10.800000000000011,6347.022462647999
L,297.0,307.7,1447,46.4,8,1,No Failure,10.699999999999989,7030.968126504
M,296.9,307.6,1685,32.0,10,1,No Failure,10.700000000000045,5646.4891896
M,296.8,307.5,1443,39.2,13,1,No Failure,10.699999999999989,5923.5357734280005
L,296.9,307.5,1354,44.4,16,1,No Failure,10.600000000000023,6295.5003431879995
L,296.9,307.5,2721,9.3,18,0,Power Failure,10.600000000000023,2649.9648162015
L,297.0,307.6,1680,35.8,20,1,No Failure,10.600000000000023,6298.264944719999
H,296.9,307.5,1397,48.3,22,1,No Failure,10.600000000000023,7065.975940600499
M,296.9,307.4,1521,37.9,27,1,No Failure,10.5,6036.6645247545
M,296.8,307.4,1472,43.9,30,1,No Failure,10.599999999999966,6767.074343904
H,296.8,307.5,1695,30.0,33,1,No Failure,10.699999999999989,5324.9995417499995
H,296.7,307.5,1607,33.6,38,1,No Failure,10.800000000000011,5654.364115176
L,296.8,307.5,1347,54.8,43,1,No Failure,10.699999999999989,7729.951547177999
M,296.7,307.4,1540,38.7,45,1,No Failure,10.699999999999989,6241.08795849
L,296.6,307.4,1389,42.7,48,1,No Failure,10.799999999999955,6210.9600849765
M,296.6,307.5,1734,27.0,50,1,No Failure,10.899999999999977,4902.7694895899995
L,296.7,307.6,1540,38.6,53,1,No Failure,10.900000000000034,6224.96111622
M,296.7,307.5,1515,42.1,55,1,No Failure,10.800000000000011,6679.1830535325
L,296.6,307.4,1504,45.8,58,1,No Failure,10.799999999999955,7213.431827615999
L,296.6,307.5,1557,35.1,60,1,No Failure,10.899999999999977,5723.0079145785
L,296.5,307.4,1292,52.5,62,1,No Failure,10.899999999999977,7103.14098165
H,296.5,307.4,1432,49.2,64,1,No Failure,10.899999999999977,7377.967506672001
M,296.5,307.4,1350,55.6,69,1,No Failure,10.899999999999977,7860.2648103
M,296.6,307.4,1790,25.8,72,1,No Failure,10.799999999999955,4836.16772541
H,296.4,307.3,1540,37.4,75,1,No Failure,10.900000000000034,6031.43900898
M,296.4,307.3,2077,19.1,80,1,No Failure,10.900000000000034,4154.3059846785
L,296.4,307.3,1487,37.5,83,1,No Failure,10.900000000000034,5839.4353381875
L,296.5,307.4,1523,40.7,85,1,No Failure,10.899999999999977,6491.1692054055
L,296.5,307.5,1443,41.8,87,1,No Failure,11.0,6316.423350236999
L,296.5,307.5,1340,59.1,89,1,No Failure,11.0,8293.17627747
H,296.6,307.7,1654,31.0,91,1,No Failure,11.099999999999966,5369.40071787
L,296.6,307.6,1459,40.2,96,1,No Failure,11.0,6142.002126309
L,296.5,307.6,1541,38.5,98,1,No Failure,11.100000000000023,6212.8659845175
H,296.6,307.7,1386,62.3,100,0,Power Failure,11.099999999999966,9042.320460789
M,296.7,307.8,1258,69.0,105,0,Power Failure,11.100000000000023,9089.88417351
M,296.7,307.8,1375,51.4,108,1,No Failure,11.100000000000023,7401.068684625
L,296.8,307.9,1706,30.8,111,1,No Failure,11.099999999999966,5502.478582524001
M,296.7,307.8,1672,32.4,113,1,No Failure,11.100000000000023,5672.9623436639995
M,296.8,307.9,1843,25.2,116,1,No Failure,11.099999999999966,4863.562413318
L,296.7,307.9,1690,29.6,119,1,No Failure,11.199999999999989,5238.50102412
L,296.8,307.9,1413,46.5,121,1,No Failure,11.099999999999966,6880.5591423975
L,296.8,307.9,1489,33.4,123,1,No Failure,11.099999999999966,5207.985687513
L,296.8,307.9,1271,61.4,125,1,No Failure,11.099999999999966,8172.266848346999
M,296.8,307.9,1418,47.9,127,1,No Failure,11.099999999999966,7112.796143060999
M,296.9,307.8,1426,50.7,130,1,No Failure,10.900000000000034,7571.049790941
L,296.9,307.9,1535,39.2,133,1,No Failure,11.0,6301.19709786
L,296.9,307.8,1557,38.1,135,1,No Failure,10.900000000000034,6212.1538901835
L,296.9,307.8,1653,29.7,137,1,No Failure,10.900000000000034,5141.1221239455
L,296.9,307.9,1435,41.6,139,1,No Failure,11.0,6251.35049448
M,297.0,307.9,1569,33.3,141,1,No Failure,10.899999999999977,5471.3663433135
M,296.9,307.9,1385,44.8,144,1,No Failure,11.0,6497.651358239999
L,297.0,307.9,1635,31.6,147,1,No Failure,10.899999999999977,5410.45086183
L,296.9,307.9,1423,43.9,149,1,No Failure,11.0,6541.811678923499
L,297.0,307.9,1479,39.2,151,1,No Failure,10.899999999999977,6071.316291684
L,297.0,307.9,1296,69.1,153,0,Power Failure,10.899999999999977,9378.031051368
L,297.0,307.8,1553,33.3,155,1,No Failure,10.800000000000011,5415.571657849499
L,297.0,307.9,1529,42.2,157,1,No Failure,10.899999999999977,6756.916527669
M,297.1,308.0,1690,25.6,159,1,No Failure,10.899999999999977,4530.59548032
L,297.1,308.0,1348,58.0,162,1,No Failure,10.899999999999977,8187.40932492
L,297.2,308.1,1446,38.5,164,1,No Failure,10.900000000000034,5829.853480605
L,297.1,307.9,1456,50.0,166,1,No Failure,10.799999999999955,7623.598164
L,297.0,307.9,1350,47.7,168,1,No Failure,10.899999999999977,6743.428623225001
L,297.1,307.9,1507,38.3,170,1,No Failure,10.799999999999955,6044.2252910655
H,297.0,307.9,1448,45.6,172,1,No Failure,10.899999999999977,6914.519758944
L,296.9,307.9,1626,29.9,177,1,No Failure,11.0,5091.202216737
H,297.0,307.9,1846,27.3,179,1,No Failure,10.899999999999977,5277.435829029
H,297.0,307.8,1404,40.7,184,1,No Failure,10.800000000000011,5983.980016014
L,297.0,307.8,1583,37.2,189,1,No Failure,10.800000000000011,6166.695044538001
L,297.0,307.9,1436,47.7,191,1,No Failure,10.899999999999977,7173.010002186
L,297.0,307.8,1609,35.6,193,1,No Failure,10.800000000000011,5998.389454302
H,297.0,307.7,1834,23.8,195,1,No Failure,10.699999999999989,4570.933529946
L,297.0,307.8,1316,61.2,200,0,Overstrain Failure,10.800000000000011,8434.045291896
L,296.9,307.8,1400,57.1,202,0,Overstrain Failure,10.900000000000034,8371.2972147
L,296.9,307.9,1367,47.1,204,1,No Failure,11.0,6742.4547295035
L,297.1,308.1,1754,30.3,206,1,No Failure,11.0,5565.457043181001
L,297.1,308.1,1487,34.6,208,1,No Failure,11.0,5387.852338701
M,297.1,308.1,1506,37.7,210,1,No Failure,11.0,5945.589753831
L,297.0,308.1,1362,52.5,213,0,Overstrain Failure,11.100000000000023,7487.986081275
L,297.1,308.1,1584,36.8,215,1,No Failure,11.0,6104.240182656
L,297.0,308.1,1355,43.7,217,1,No Failure,11.100000000000023,6200.8232126925
M,297.1,308.1,1823,24.3,219,1,No Failure,11.0,4638.9699547695
H,297.0,308.1,1517,41.4,222,1,No Failure,11.100000000000023,6576.798549069
L,297.1,308.1,1446,36.6,227,1,No Failure,11.0,5542.146425718
H,297.1,308.0,1559,38.8,229,1,No Failure,10.899999999999977,6334.414204146
M,297.1,308.1,1352,44.4,0,1,No Failure,11.0,6286.201228943999
M,297.2,308.3,1578,37.8,3,1,No Failure,11.100000000000023,6246.365834142
M,297.2,308.3,1429,42.0,6,1,No Failure,11.100000000000023,6285.07025559
M,297.2,308.3,1604,39.4,9,1,No Failure,11.100000000000023,6618.0371885879995
L,297.3,308.5,1398,60.4,12,1,No Failure,11.199999999999989,8842.452336396
L,297.3,308.4,1441,43.4,14,1,No Failure,11.099999999999966,6549.110645847
H,297.3,308.4,1531,35.6,16,1,No Failure,11.099999999999966,5707.603638617999
L,297.2,308.3,1379,52.1,21,1,No Failure,11.100000000000023,7523.685045754501
L,297.3,308.3,1410,48.1,23,1,No Failure,11.0,7102.198503855
L,297.3,308.4,1513,40.5,25,1,No Failure,11.099999999999966,6416.8600672575
L,297.3,308.5,1497,47.5,27,1,No Failure,11.199999999999989,7446.3599786625
L,297.3,308.4,1491,46.5,29,1,No Failure,11.099999999999966,7260.3776937825
L,297.3,308.4,1417,47.8,31,1,No Failure,11.099999999999966,7092.941277512999
M,297.4,308.6,1522,38.0,33,1,No Failure,11.200000000000045,6056.57175018
L,297.3,308.4,1339,52.1,36,1,No Failure,11.099999999999966,7305.449076334501
M,297.2,308.3,1794,27.5,38,1,No Failure,11.100000000000023,5166.349112925
L,297.2,308.4,1460,42.1,41,1,No Failure,11.199999999999989,6436.70446083
M,297.2,308.3,1776,28.0,43,1,No Failure,11.100000000000023,5207.50397664
M,297.2,308.3,1431,43.7,46,1,No Failure,11.100000000000023,6548.6184629985
L,297.1,308.2,1347,50.8,49,1,No Failure,11.099999999999966,7165.721507237999
M,297.0,308.1,1507,43.1,51,1,No Failure,11.100000000000023,6801.726110833501
M,297.0,308.0,1408,47.9,54,1,No Failure,11.0,7062.635380416
M,297.0,307.9,1493,34.7,57,1,No Failure,10.899999999999977,5425.226819260501
M,296.9,307.9,1441,47.6,60,1,No Failure,11.0,7182.895547058
H,296.9,307.9,1557,36.5,63,1,No Failure,11.0,5951.2760365275
M,296.9,307.9,1979,20.4,68,1,No Failure,11.0,4227.704060958
M,296.9,308.0,1430,55.9,71,1,No Failure,11.100000000000023,8370.983055435
L,296.9,308.0,1658,41.0,74,1,No Failure,11.100000000000023,7118.63950539
M,297.0,308.1,1355,51.4,76,1,No Failure,11.100000000000023,7293.416776485
H,297.0,308.1,1410,47.6,79,1,No Failure,11.100000000000023,7028.37107658
L,296.9,308.0,1521,34.5,84,1,No Failure,11.100000000000023,5495.1167837474995
L,296.8,308.0,1371,54.5,86,1,No Failure,11.199999999999989,7824.6077337225
H,296.9,308.0,1318,53.5,88,1,No Failure,11.100000000000023,7384.104084314999
M,297.0,308.1,1573,34.9,93,1,No Failure,11.100000000000023,5748.8736940635
L,297.0,308.1,1489,44.1,96,1,No Failure,11.100000000000023,6876.412240099501
H,297.0,308.1,2540,13.3,98,1,No Failure,11.100000000000023,3537.64276341
L,297.0,308.1,1537,39.0,103,1,No Failure,11.100000000000023,6277.216273965
H,296.9,308.0,1416,46.9,105,1,No Failure,11.100000000000023,6954.480817451999
L,296.9,307.9,1359,56.5,110,1,No Failure,11.0,8040.7493080425
M,296.8,307.8,1551,38.9,112,1,No Failure,11.0,6318.151226194499
M,296.8,307.8,1694,33.0,115,1,No Failure,11.0,5854.0437440099995
L,296.8,307.9,1709,28.4,118,1,No Failure,11.099999999999966,5082.636140778
L,296.9,308.0,1514,41.0,120,1,No Failure,11.100000000000023,6500.37407187
L,297.0,308.1,1455,43.5,122,1,No Failure,11.100000000000023,6627.9750933375
M,297.0,308.2,1702,30.7,124,1,No Failure,11.199999999999989,5471.753806407
M,296.9,308.1,1357,41.8,127,1,No Failure,11.200000000000045,5939.976774963
L,297.0,308.2,1577,29.4,130,1,No Failure,11.199999999999989,4855.205776868999
M,297.0,308.3,1399,46.4,132,1,Random Failures,11.300000000000011,6797.736288168
L,297.0,308.3,1399,59.0,135,1,No Failure,11.300000000000011,8643.673297455
L,297.0,308.3,1492,48.1,137,1,No Failure,11.300000000000011,7515.234161525999
L,297.1,308.3,1763,25.7,139,1,No Failure,11.199999999999989,4744.7578512704995
H,297.1,308.3,1492,41.5,141,1,No Failure,11.199999999999989,6484.03779009
L,297.1,308.4,1488,42.5,146,1,No Failure,11.299999999999955,6622.4773061999995
L,297.1,308.4,1422,42.1,148,1,No Failure,11.299999999999955,6269.173796781
M,297.1,308.4,1583,38.2,150,1,No Failure,11.299999999999955,6332.4664167030005
L,297.1,308.4,1304,53.5,153,1,No Failure,11.299999999999955,7305.6689878199995
M,297.1,308.4,1880,23.5,155,1,No Failure,11.299999999999955,4626.5187759
M,297.2,308.5,1604,40.7,158,1,No Failure,11.300000000000011,6836.398821714
L,297.2,308.6,1500,37.1,161,1,No Failure,11.400000000000034,5827.65436575
M,297.2,308.5,1364,55.6,163,1,No Failure,11.300000000000011,7941.778667592001
H,297.2,308.5,2440,14.0,166,1,No Failure,11.300000000000011,3577.2268308
H,297.1,308.4,1654,31.4,171,1,No Failure,11.299999999999955,5438.683307777999
H,297.1,308.4,1359,46.6,176,1,No Failure,11.299999999999955,6631.839252297
M,297.1,308.4,1502,37.3,181,1,No Failure,11.299999999999955,5866.882385973
M,297.1,308.4,1615,32.6,184,1,No Failure,11.299999999999955,5513.390380995
H,297.2,308.5,1482,39.3,187,1,No Failure,11.300000000000011,6099.150802563
L,297.2,308.6,1636,31.3,192,1,No Failure,11.400000000000034,5362.363550334
M,297.1,308.5,1621,32.4,194,1,No Failure,11.399999999999977,5499.923420501999
L,297.1,308.4,1468,44.4,197,1,No Failure,11.299999999999955,6825.549855095999
M,297.1,308.4,1432,53.4,199,1,No Failure,11.299999999999955,8007.7940011440005
L,297.1,308.4,1726,28.4,202,1,No Failure,11.299999999999955,5133.194838492
M,297.1,308.4,1588,33.4,204,1,No Failure,11.299999999999955,5554.252029396
H,297.2,308.5,1653,33.3,207,1,No Failure,11.300000000000011,5764.288441999499
L,297.2,308.5,1513,42.9,212,1,No Failure,11.300000000000011,6797.118441613499
L,297.2,308.6,1489,40.2,214,1,No Failure,11.400000000000034,6268.294150839
L,297.3,308.7,1467,36.8,216,1,No Failure,11.399999999999977,5653.358805528
L,297.3,308.7,1549,36.1,218,1,No Failure,11.399999999999977,5855.8135078695
M,297.4,308.8,1359,48.7,220,1,No Failure,11.400000000000034,6930.6989610915
L,297.5,308.8,1533,41.5,223,1,No Failure,11.300000000000011,6662.2184532225
L,297.5,308.8,1309,57.3,0,1,No Failure,11.300000000000011,7854.578527603499
H,297.5,308.8,1430,49.4,2,1,No Failure,11.300000000000011,7397.61293271
H,297.5,308.9,1419,50.7,7,1,No Failure,11.399999999999977,7533.8847498915
M,297.5,308.9,1535,37.7,12,1,No Failure,11.399999999999977,6060.079861972501
L,297.5,308.9,1466,43.0,15,1,No Failure,11.399999999999977,6601.32391569
L,297.5,308.9,1427,50.4,17,1,No Failure,11.399999999999977,7531.528555404
M,297.5,308.9,1280,48.5,19,1,No Failure,11.399999999999977,6501.0023904
L,297.6,309.0,1528,33.8,22,1,No Failure,11.399999999999977,5408.398354632
H,297.6,309.0,1885,25.2,24,1,No Failure,11.399999999999977,4974.39780201
H,297.8,309.2,1648,33.0,29,1,No Failure,11.399999999999977,5695.07915592
L,297.8,309.2,1400,56.9,34,1,No Failure,11.399999999999977,8341.9756833
M,297.8,309.3,2243,15.7,36,1,No Failure,11.5,3687.7166443005
L,297.9,309.4,1558,35.7,39,1,No Failure,11.5,5824.575604953
L,298.0,309.6,1633,34.8,41,1,No Failure,11.600000000000023,5951.056125042
M,298.1,309.6,1549,38.7,43,1,No Failure,11.5,6277.5618491565
L,298.0,309.5,1496,45.8,46,1,No Failure,11.5,7175.062509384
L,298.1,309.5,1467,41.8,48,1,No Failure,11.399999999999977,6421.478208453
M,298.0,309.4,1276,65.9,50,1,No Failure,11.399999999999977,8805.716646342
H,298.0,309.4,1490,40.5,53,1,No Failure,11.399999999999977,6319.313615475
H,298.0,309.4,1562,38.1,58,1,No Failure,11.399999999999977,6232.103003511001
L,298.1,309.4,1397,48.2,63,1,No Failure,11.299999999999955,7051.346590827001
H,298.1,309.5,1530,40.2,65,1,No Failure,11.399999999999977,6440.893251030001
M,298.1,309.4,1362,47.6,70,1,No Failure,11.299999999999955,6789.107380356
M,298.2,309.4,1693,34.4,73,1,No Failure,11.199999999999989,6098.794755395999
M,298.2,309.4,1408,46.5,76,1,No Failure,11.199999999999989,6856.2117993599995
L,298.2,309.4,1398,52.9,79,1,No Failure,11.199999999999989,7744.465705221
M,298.3,309.6,1531,40.1,81,1,No Failure,11.300000000000011,6429.0703906905
H,298.3,309.5,1521,37.1,84,1,No Failure,11.199999999999989,5909.2415268705
H,298.3,309.5,1427,54.3,89,1,No Failure,11.199999999999989,8114.325407905499
L,298.3,309.4,1546,36.1,94,1,No Failure,11.099999999999966,5844.472358403001
L,298.3,309.4,1356,45.4,96,1,No Failure,11.099999999999966,6446.799445212
L,298.4,309.5,2153,15.3,98,0,Power Failure,11.100000000000023,3449.5629774795
M,298.5,309.6,1492,41.7,100,1,No Failure,11.100000000000023,6515.286164982
L,298.5,309.6,1582,40.3,103,1,No Failure,11.100000000000023,6676.366092122999
L,298.5,309.6,1419,41.5,105,1,No Failure,11.100000000000023,6166.7892923174995
M,298.5,309.6,1441,48.2,107,1,No Failure,11.100000000000023,7273.4362472309995
M,298.6,309.7,1635,32.2,110,1,No Failure,11.099999999999966,5513.180941485
L,298.6,309.7,1429,45.8,113,1,No Failure,11.099999999999966,6853.719469191
M,298.6,309.7,1675,28.4,115,1,No Failure,11.099999999999966,4981.51874535
M,298.7,309.7,1868,23.8,118,1,No Failure,11.0,4655.6727556920005
H,298.7,309.8,1582,33.4,121,1,No Failure,11.100000000000023,5533.266190494
L,298.8,309.9,1486,40.3,126,1,No Failure,11.099999999999966,6271.226303979
L,298.7,309.8,1402,54.3,128,1,No Failure,11.100000000000023,7972.168340492999
L,298.7,309.9,1621,34.1,130,1,No Failure,11.199999999999989,5788.499649355501
L,298.8,309.9,1428,42.4,132,1,No Failure,11.099999999999966,6340.4879499359995
M,298.7,309.8,1343,53.6,134,1,No Failure,11.100000000000023,7538.2306197240005
M,298.7,309.9,1458,40.2,137,1,No Failure,11.199999999999989,6137.792392158
L,298.7,309.8,1322,57.0,140,1,No Failure,11.100000000000023,7891.05241827
L,298.7,309.9,1483,32.8,142,1,No Failure,11.199999999999989,5093.820210611999
L,298.6,309.8,1505,45.7,144,1,Random Failures,11.199999999999989,7202.4676692675
L,298.7,309.9,1593,42.5,146,1,No Failure,11.199999999999989,7089.7892128875
L,298.8,310.0,2098,19.6,148,1,No Failure,11.199999999999989,4306.160101404
L,298.8,310.0,1672,30.4,150,1,No Failure,11.199999999999989,5322.779482943999
L,298.8,310.0,1487,41.4,152,1,No Failure,11.199999999999989,6446.736613358999
L,298.8,310.0,1423,42.1,154,1,No Failure,11.199999999999989,6273.5824984665005
L,298.9,310.1,1750,25.0,156,1,No Failure,11.200000000000045,4581.48928125
L,298.9,310.2,1654,31.1,158,1,No Failure,11.300000000000011,5386.721365347
L,298.9,310.2,1498,50.2,160,1,No Failure,11.300000000000011,7874.883688098001
L,298.9,310.1,1587,30.2,162,1,No Failure,11.200000000000045,5018.945585787
L,298.9,310.1,1473,42.6,164,1,No Failure,11.200000000000045,6571.143682299
L,298.9,310.2,1359,56.9,166,1,No Failure,11.300000000000011,8097.674966860499
M,299.0,310.3,1635,34.5,168,1,No Failure,11.300000000000011,5906.9795801625
L,299.0,310.3,1520,45.0,171,1,No Failure,11.300000000000011,7162.831242
L,299.0,310.3,1507,36.7,173,1,No Failure,11.300000000000011,5791.7250178095
L,299.0,310.3,1428,46.3,175,1,No Failure,11.300000000000011,6923.6932094819995
M,299.0,310.3,1582,33.3,177,1,No Failure,11.300000000000011,5516.699525253
L,299.0,310.3,1929,24.4,180,1,No Failure,11.300000000000011,4928.907540438
M,299.0,310.3,1540,38.1,182,1,No Failure,11.300000000000011,6144.326904869999
L,298.9,310.2,1362,53.0,185,1,No Failure,11.300000000000011,7559.30023443
H,298.9,310.1,1452,49.9,187,1,No Failure,11.200000000000045,7587.448904574
L,298.9,310.1,1361,51.7,192,1,No Failure,11.200000000000045,7368.469424893499
M,298.8,310.1,1243,74.5,194,0,Power Failure,11.300000000000011,9697.4158321425
H,298.8,310.1,1567,36.8,197,1,No Failure,11.300000000000011,6038.727503927999
L,298.9,310.2,1411,46.5,202,1,No Failure,11.300000000000011,6870.8202051825
L,298.8,310.2,1814,26.8,204,1,No Failure,11.399999999999977,5090.971833276
M,298.8,310.1,1719,28.8,206,1,No Failure,11.300000000000011,5184.381854736001
H,298.8,310.2,1663,30.4,209,1,No Failure,11.399999999999977,5294.128157976
L,298.9,310.2,1696,30.2,214,1,No Failure,11.300000000000011,5363.662075296
H,298.9,310.2,1771,26.8,216,1,No Failure,11.300000000000011,4970.292787614
L,299.0,310.3,1868,24.0,221,1,No Failure,11.300000000000011,4694.79605616
M,299.0,310.3,1558,35.4,223,1,No Failure,11.300000000000011,5775.6295914659995
L,299.0,310.4,1365,49.1,226,0,Overstrain Failure,11.399999999999977,7018.4750597325
L,299.0,310.4,1371,53.8,228,0,Overstrain Failure,11.399999999999977,7724.108184849
L,298.9,310.3,1583,32.6,230,1,No Failure,11.400000000000034,5404.146732579
H,298.7,310.2,1613,36.0,0,1,No Failure,11.5,6080.86673334
L,298.6,310.1,1721,27.2,5,1,No Failure,11.5,4902.057395256
M,298.6,310.2,1668,31.5,7,1,No Failure,11.599999999999966,5502.18536721
L,298.6,310.2,1569,36.3,10,1,No Failure,11.599999999999966,5964.2822300985
M,298.6,310.2,1328,50.5,12,1,No Failure,11.599999999999966,7022.92564932
M,298.6,310.1,1596,33.0,15,1,No Failure,11.5,5515.38005634
L,298.5,310.2,1676,32.7,18,1,No Failure,11.699999999999989,5739.187116726001
L,298.5,310.1,1809,28.9,20,1,No Failure,11.600000000000023,5474.759263375499
L,298.5,310.0,1804,26.1,22,1,No Failure,11.5,4930.666832322
L,298.6,310.1,1533,33.9,24,1,No Failure,11.5,5442.1495316685
L,298.7,310.2,1717,27.3,26,1,No Failure,11.5,4908.6442678455
L,298.7,310.2,1363,45.5,28,1,No Failure,11.5,6494.3526859574995
L,298.7,310.2,1402,45.9,30,1,No Failure,11.5,6738.904729808999
L,298.7,310.2,1436,47.5,32,1,No Failure,11.5,7142.9344885499995
L,298.7,310.2,1525,43.7,34,1,No Failure,11.5,6978.7862725875
M,298.7,310.2,1598,33.3,36,1,No Failure,11.5,5572.494210716999
M,298.6,310.1,1444,48.1,39,1,No Failure,11.5,7273.457191182
L,298.6,310.0,1334,48.0,42,1,No Failure,11.399999999999977,6705.41535216
M,298.6,310.0,1681,35.5,44,1,No Failure,11.399999999999977,6249.2037395025
L,298.6,309.9,1593,37.4,47,1,No Failure,11.299999999999955,6239.014507340999
L,298.6,309.9,1461,45.7,49,1,No Failure,11.299999999999955,6991.8971859135
M,298.7,310.1,1693,31.9,51,1,No Failure,11.400000000000034,5655.568392358499
L,298.7,310.2,1404,50.3,54,1,No Failure,11.5,7395.434761805999
H,298.8,310.2,1707,27.6,56,1,No Failure,11.399999999999977,4933.682761266
M,298.6,310.1,1458,41.9,61,1,No Failure,11.5,6397.350776900999
L,298.6,310.0,1517,41.2,64,1,No Failure,11.399999999999977,6545.026575402
L,298.7,310.1,1433,54.6,66,1,No Failure,11.400000000000034,8193.462126759001
L,298.7,310.2,1566,33.1,68,1,No Failure,11.5,5428.106612523001
L,298.7,310.1,1676,33.5,70,1,No Failure,11.400000000000034,5879.59536423
M,298.7,310.1,1368,56.8,72,1,No Failure,11.400000000000034,8136.976290911999
M,298.8,310.2,1581,37.5,75,1,No Failure,11.399999999999977,6208.5724745625
H,298.8,310.3,1708,27.1,78,1,No Failure,11.5,4847.142355734
M,298.7,310.3,1481,41.5,83,1,No Failure,11.600000000000023,6436.2332219325
L,298.7,310.3,1451,40.0,86,1,No Failure,11.600000000000023,6077.9345802
M,298.7,310.3,1495,38.7,88,1,No Failure,11.600000000000023,6058.718505157501
M,298.8,310.3,1573,41.8,91,1,No Failure,11.5,6885.470498907
M,298.8,310.3,1366,59.0,94,1,No Failure,11.5,8439.78393447
L,298.8,310.3,1553,36.8,97,1,No Failure,11.5,5984.775886152
M,298.8,310.3,1528,37.1,99,1,No Failure,11.5,5936.437247244
M,298.8,310.2,1527,31.2,102,1,No Failure,11.399999999999977,4989.100455612
L,298.8,310.2,1461,46.7,105,1,No Failure,11.399999999999977,7144.8927479685
H,298.8,310.2,1455,44.9,107,1,No Failure,11.399999999999977,6841.2892342725
L,298.7,310.1,1620,34.8,112,1,No Failure,11.400000000000034,5903.680907879999
L,298.7,310.1,1786,27.7,114,1,No Failure,11.400000000000034,5180.716663310999
M,298.8,310.2,1583,35.7,116,1,No Failure,11.399999999999977,5918.0379862905
L,298.8,310.1,1653,30.3,119,1,No Failure,11.300000000000011,5244.9831769545
M,298.9,310.2,1331,49.0,121,1,No Failure,11.300000000000011,6829.717701345
L,298.9,310.3,1484,43.8,124,1,No Failure,11.400000000000034,6806.700299196
M,298.9,310.2,1603,36.1,126,1,No Failure,11.300000000000011,6059.9541982665005
L,298.9,310.2,1445,40.0,129,1,No Failure,11.300000000000011,6052.801839
L,298.9,310.1,1823,26.1,131,1,No Failure,11.200000000000045,4982.597358826501
H,298.9,310.1,1491,45.3,133,1,No Failure,11.200000000000045,7073.0131081365
L,298.9,310.2,1533,42.8,138,1,No Failure,11.300000000000011,6870.914452961999
L,298.9,310.2,1409,54.8,140,1,No Failure,11.300000000000011,8085.747386765999
L,298.9,310.2,2737,8.8,142,0,Power Failure,11.300000000000011,2522.238131028
M,299.0,310.3,1494,46.6,144,1,No Failure,11.300000000000011,7290.631231002001
L,299.1,310.4,1594,33.3,147,1,No Failure,11.299999999999955,5558.545539350999
L,299.1,310.4,1527,44.0,149,1,No Failure,11.299999999999955,7035.91089894
L,299.1,310.4,1452,39.7,151,1,No Failure,11.299999999999955,6036.507445122
L,299.0,310.3,1483,39.2,153,1,No Failure,11.300000000000011,6087.736349268001
L,299.1,310.2,1569,38.2,155,1,No Failure,11.099999999999966,6276.462291729
L,299.1,310.3,1472,46.6,157,1,No Failure,11.199999999999989,7183.272538175999
L,299.0,310.2,1533,43.5,159,1,No Failure,11.199999999999989,6983.2892220525
H,298.9,310.1,1366,62.7,161,1,No Failure,11.200000000000045,8969.058520191
H,298.9,310.2,1532,37.7,166,1,No Failure,11.300000000000011,6048.236057682
M,298.9,310.1,1313,56.8,171,1,No Failure,11.200000000000045,7809.831776292
L,299.0,310.2,1372,48.0,174,1,No Failure,11.199999999999989,6896.42418528
M,298.9,310.1,1555,40.6,176,1,No Failure,11.200000000000045,6611.272292415
L,298.9,310.1,1394,42.7,179,1,No Failure,11.200000000000045,6233.317752669001
L,298.9,310.1,1442,48.0,181,1,No Failure,11.200000000000045,7248.2825620799995
L,298.9,310.0,1564,33.8,183,1,No Failure,11.100000000000023,5535.821352516
L,298.9,310.0,1452,48.9,185,1,No Failure,11.100000000000023,7435.395820314
L,298.9,310.1,1466,42.5,187,1,No Failure,11.200000000000045,6524.564335275
M,298.9,310.1,1469,53.2,189,1,No Failure,11.200000000000045,8183.932629054
L,298.9,310.1,1944,23.4,192,1,No Failure,11.200000000000045,4763.659767048
M,298.8,309.9,1415,53.2,194,1,No Failure,11.099999999999966,7883.09371689
M,298.7,309.8,1528,36.7,197,1,No Failure,11.100000000000023,5872.432532988
M,298.7,309.8,1570,42.1,200,1,No Failure,11.100000000000023,6921.661646235
L,298.7,309.9,1617,33.0,203,1,No Failure,11.199999999999989,5587.950846555
M,298.7,309.9,2083,18.2,205,1,No Failure,11.199999999999989,3969.988743903
L,298.7,309.9,1541,38.5,208,1,No Failure,11.199999999999989,6212.8659845175
L,298.8,309.9,1320,47.4,210,1,No Failure,11.099999999999966,6552.10563084
L,298.7,309.8,1354,53.3,212,0,Overstrain Failure,11.100000000000023,7557.436222791
M,298.8,309.9,1495,35.2,214,1,No Failure,11.099999999999966,5510.7723871200005
L,298.7,309.8,1589,31.8,217,1,No Failure,11.100000000000023,5291.510164101001
L,298.7,309.8,1530,35.5,0,1,No Failure,11.100000000000023,5687.853492825
L,298.7,309.8,1539,33.4,2,1,No Failure,11.100000000000023,5382.867678363
